combination_name,bestObjAtGen0,bestObjAtLastGen,known_optimization_result

F1: Zakharov - different dimension count,[110529.42305035 435188.34221723],[59165.024578  28007.6907019],300

F2: Rosencbrock - different dimension count,[10624.0412977   1700.12068383],[3972.97704235  644.58767152],400

F3: Schaffer - different dimension count,[729.6935268  703.26935929],[694.15747621 655.8239474 ],600

F4: Rastrigin - different dimension count,[1129.30478531  902.89799087],[1074.61928225  886.0398837 ],800

F5: Levy - different dimension count,[11795.25675311  3439.35051238],[7819.06127795 1687.69599925],900

F6: hf02 - different dimension count,[4.60027913e+09 1.44473609e+09],[2.15718893e+09 3.51075186e+07],1800

F7: hf10 - different dimension count,[2522.95059148 2124.11027536],[2226.55544125 2092.90906883],2000

F8: hf06 - different dimension count,[4581.35343033 2303.44245853],[2351.40278418 2249.7811776 ],2200

F9: cf01 - different dimension count,[3553.10727397 2869.28680665],[2872.18048245 2682.61329751],2300

F10: cf02 - different dimension count,[8391.20018383 3853.27311603],[3965.8809392  2552.78174718],2400

F11: cf06 - different dimension count,[18132.7087616   5711.80902597],[9886.94983422 3553.83332178],2600

F12: cf07 - different dimension count,[4577.14313025 2942.0335041 ],[3624.41374692 2902.82434368],2700

Attempt 2:
F1: Zakharov - different dimension count,[4.87120287e+12 8.18823817e+09],[3.90645366e+12 6.51458658e+09],300

F2: Rosencbrock - different dimension count,[9796.70759888 3516.11706958],[5225.14084974 1311.80255308],400

F3: Schaffer - different dimension count,[710.62815985 688.3665698 ],[674.61824806 653.56654574],600

F4: Rastrigin - different dimension count,[1118.83686864  932.59322288],[1068.8204803   884.36722162],800

F5: Levy - different dimension count,[13785.52259765  5316.65885893],[7760.68767817 3779.33907045],900

F6: hf02 - different dimension count,[6.19001394e+09 8.77450449e+08],[1.86695534e+09 1.44249658e+07],1800

F7: hf10 - different dimension count,[2674.03136356 2325.99501855],[2294.07306374 2151.21444002],2000

F8: hf06 - different dimension count,[75755.42341511  2351.24794208],[2675.83564125 2246.73476493],2200

F9: cf01 - different dimension count,[3333.56553168 3238.31310191],[2977.23512871 2776.31004516],2300

F10: cf02 - different dimension count,[8229.23897061 2733.14171547],[4334.46150029 2522.95929236],2400

F11: cf06 - different dimension count,[11657.30707052  4678.77874366],[8623.30453706 3661.54854586],2600

F12: cf07 - different dimension count,[4317.16346503 3017.51253149],[3680.99213865 2918.12629017],2700

Attempt 3:
F1: Zakharov - different dimension count,[5.46906118e+12 9.50929469e+09],[4.51395505e+12 5.56002083e+09],300

F2: Rosencbrock - different dimension count,[9561.93325974 1699.65712453],[3234.9548631   757.29804746],400

F3: Schaffer - different dimension count,[711.67110003 707.36303412],[700.04656691 652.99416202],600

F4: Rastrigin - different dimension count,[1107.87019858  917.18496814],[1060.12735731  863.67199857],800

F5: Levy - different dimension count,[13565.01464017  2372.90446993],[7906.8262708  1718.35736448],900

F6: hf02 - different dimension count,[6.72956610e+09 1.71446599e+08],[4.15922346e+09 6.15748382e+06],1800

F7: hf10 - different dimension count,[2456.77990128 2193.65456536],[2197.32361028 2092.78237773],2000

F8: hf06 - different dimension count,[4796.19668742 2653.53966205],[2640.83764762 2260.13888331],2200

F9: cf01 - different dimension count,[4257.96224317 3023.17336281],[3105.24558119 2800.87044179],2300

F10: cf02 - different dimension count,[8613.71046076 2601.33099976],[2842.65471372 2531.67042606],2400

F11: cf06 - different dimension count,[13343.55904328  5588.56841418],[9727.59141661 3583.19516463],2600

F12: cf07 - different dimension count,[4258.31027502 3514.70075815],[3647.59401574 2975.04123829],2700

Attempt4:
F1: Zakharov - different dimension count,[120518.99638524 296707.75445781],[68960.80544663  6607.91215049],300

F2: Rosencbrock - different dimension count,[9130.8419422  2083.16489799],[4765.58489575 1196.48045943],400

F3: Schaffer - different dimension count,[736.62390544 706.78011034],[704.63921911 660.11359987],600

F4: Rastrigin - different dimension count,[1090.96318902  939.89509002],[1031.83539758  886.74467015],800

F5: Levy - different dimension count,[14862.7881967   4635.53460936],[8390.97259619 3195.86214716],900

F6: hf02 - different dimension count,[1.57210338e+10 4.76618624e+08],[4.54663302e+09 8.36811763e+06],1800

F7: hf10 - different dimension count,[2523.37405908 2150.68844453],[2279.10280383 2140.13076379],2000

F8: hf06 - different dimension count,[4212.69602614 2540.06389803],[2467.77673343 2254.87510868],2200

F9: cf01 - different dimension count,[3485.61750278 2926.75813174],[2963.32986399 2725.69714243],2300

F10: cf02 - different dimension count,[7786.65031759 4448.64453467],[7014.43009148 2556.57653795],2400

F11: cf06 - different dimension count,[13846.84632966  5328.91145438],[10118.71410592  4339.98644015],2600

F12: cf07 - different dimension count,[4735.15731919 3162.22517655],[3743.03945054 2992.90647898],2700

Attempt 5 (gen 1000):
F1: Zakharov - different dimension count,[91697.62470896 38140.86916704],[1921.98491629  347.22027883],300

F2: Rosencbrock - different dimension count,[6683.87117459 4469.84715785],[471.32579127 470.14579974],400

F3: Schaffer - different dimension count,[724.7281154  678.12269019],[600.09670966 600.01554369],600

F4: Rastrigin - different dimension count,[1084.91136019  905.1578849 ],[890.54809398 816.91432197],800

F5: Levy - different dimension count,[16563.41603291  2168.60453764],[1507.46254265  906.01008776],900

F6: hf02 - different dimension count,[8.50376151e+09 1.78068095e+07],[17211.76444089  2270.48149798],1800

F7: hf10 - different dimension count,[2333.24167317 2180.99925057],[2071.25255462 2020.30129605],2000

F8: hf06 - different dimension count,[3485.16665428 2440.39212359],[2340.01862783 2220.5339587 ],2200

F9: cf01 - different dimension count,[3643.20086162 2991.14710907],[2482.60256321 2529.28520283],2300

F10: cf02 - different dimension count,[8296.28905522 4309.54449167],[2407.75417395 2618.59130327],2400

F11: cf06 - different dimension count,[14985.04382061  4376.04003693],[2907.18382262 2600.18836709],2600

F12: cf07 - different dimension count,[4363.37678706 3293.18199955],[3010.45133217 2875.95824042],2700

Attempt 6 (gen 1000):
F1: Zakharov - different dimension count,[102705.27450197 155396.3543318 ],[4354.22334     307.92526693],300

F2: Rosencbrock - different dimension count,[8067.06279407 4033.61878538],[408.95573216 400.54117149],400

F3: Schaffer - different dimension count,[733.02985832 680.71417007],[600.05807054 600.00771652],600

F4: Rastrigin - different dimension count,[1086.71426871  928.79709046],[876.63325003 819.89983912],800

F5: Levy - different dimension count,[9424.84812769 2671.68945331],[2493.40689012  900.76883929],900

F6: hf02 - different dimension count,[6.68859693e+09 9.26106341e+08],[20815.44266149  4085.59487358],1800

F7: hf10 - different dimension count,[2452.16410647 2208.06399728],[2062.28307338 2020.11007869],2000

F8: hf06 - different dimension count,[3002.02153157 2640.0801979 ],[2221.88080071 2221.08252608],2200

F9: cf01 - different dimension count,[5148.00182652 3170.09513503],[2483.44137402 2529.28545364],2300

F10: cf02 - different dimension count,[7990.7831215  4742.23112332],[2500.85071709 2500.49449372],2400

F11: cf06 - different dimension count,[17079.82566928  5165.57300094],[2913.23238396 2600.68409126],2600

F12: cf07 - different dimension count,[4705.87237583 3156.81696332],[2983.92782876 2869.92015689],2700

Attempt 7 (gen 1000):
F1: Zakharov - different dimension count,[110456.4601867   65539.81845455],[1911.05660601  383.36848203],300

F2: Rosencbrock - different dimension count,[11808.75587257  3382.86764703],[472.16013644 400.09105512],400

F3: Schaffer - different dimension count,[729.19889437 692.89329434],[600.12743359 600.04480285],600

F4: Rastrigin - different dimension count,[1096.71814363  897.882753  ],[873.35325019 817.91013206],800

F5: Levy - different dimension count,[11623.46573879  5768.62395073],[2305.97038233  908.1640267 ],900

F6: hf02 - different dimension count,[5.79435536e+09 5.68981511e+07],[4963.27659901 3588.9865028 ],1800

F7: hf10 - different dimension count,[2477.00856599 2177.39444576],[2087.35019485 2020.04370995],2000

F8: hf06 - different dimension count,[14722.35572625  2566.59497215],[2341.19904269 2220.79240261],2200

F9: cf01 - different dimension count,[3789.61073981 3426.31474136],[2485.2454028  2529.28494321],2300

F10: cf02 - different dimension count,[8146.82331879 4282.34490363],[2524.90395703 2500.58445037],2400

F11: cf06 - different dimension count,[13305.92347452  4708.13211145],[2609.53135927 2600.08396027],2600

F12: cf07 - different dimension count,[4401.34771019 2938.30658516],[2974.27349681 2865.43452396],2700

Attempt8:
F1: Zakharov - different dimension count,[393393.69866614  37905.67203002],[3586.90394574  336.69639164],300
F2: Rosencbrock - different dimension count,[8815.20661016 3543.61098316],[472.64814587 400.03020497],400
F3: Schaffer - different dimension count,[732.33217006 696.77629107],[600.09278519 600.00539986],600
F4: Rastrigin - different dimension count,[1099.16483558  918.19201018],[912.54997506 834.82466736],800
F5: Levy - different dimension count,[11825.65007417  5212.41535734],[1096.25543349  900.48982177],900
F6: hf02 - different dimension count,[5.94043506e+09 5.69374557e+07],[15140.08842422  3010.46149445],1800
F7: hf10 - different dimension count,[2427.25561232 2217.60480396],[2078.35628547 2020.08317966],2000
F8: hf06 - different dimension count,[8718.59241941 2965.09963013],[2343.12284871 2220.96543548],2200
F9: cf01 - different dimension count,[4179.18370354 3672.53437472],[2483.51472972 2529.28452347],2300
F10: cf02 - different dimension count,[8310.83485645 2593.76032709],[2500.8567395  2500.25934423],2400
F11: cf06 - different dimension count,[10605.40501929  4703.54762225],[2907.20900825 2600.26898292],2600
F12: cf07 - different dimension count,[4318.4018404  3247.47632344],[3019.07366049 2866.27179533],2700
